CTC,Other Information
"Salary
					6.9 L","Total Average PA"
"Package
					48 L","Highest PA by Fivetran, 38 LPA by J.P. Morgan, 27 LPA by Jus22 LPA by Nutanix, 22 LPA by VMware, 17.04 LPA by Josh Technology and so on"
"Stipend
					1.39 Lakh","Highest  per Month by Tardis, 7 LPA Stipend by Google"
"pay
	4
	","3
	Jus27 LPA"
"Package
					33.6 L","Highest PA by ServiceNow, 22 LPA by Nutanix, 30 & 20 LPA by Amazon, 19.6 LPA by Gojek, 19.5 LPA by VMware, 17.34 LPA by BNY Mellon"
"Package
					23 L","Highest PA by Goldman Sachs, 21 LPA by Flipkart, 19.5 LPA by VMware"
"Package
					20 L","Highest PA by Amazon, 15.5 LPA by VMware, 15 LPA by Compass"
"pay
4
","3
Jus27 LPA"
"package 17.35 lakh","Average s per annum with a Median of 16.0 lakhs per annum"
"Salary 65.6 lakh","Highest International s per annum"
"salary 34 lakh","Highest domestic s per annum"
"CTC. ","IMT believes in gender diversity and strongly encourages balanced work ratio in work places. This was evident again this year as the average CTC of female students is higher as compared to male students, and is above overall campus average The average CTC of female students stands at 17.95 lakh per annum as compared to 17.14 lakh per annum for male students. The average CTC of top 10% female at IMT Ghaziabad was 28.51 lakh per annum as compared to average CTC of male which was 29.88 lakh per annum. IMT promotes and encourages females in every aspect of the career and growth development. With female students being offered higher CTC during final placements, it surely acts as a motivation for them."
"salary
			
			
			32.7 L","Highest PA"
"salary
			
			
			5.0 L","Lowest PA"
"salary
			
			
			12.93 L","Average PA"
"salary
			
			
			10.50 L","Median PA"
"salary
			
			
			38 L","Highest PA"
"salary
			
			
			3 L","Lowest PA"
"salary
			
			
			11.8 L","Average PA"
"salary
			
			
			11.96 L","Median PA"
"salary
			
			
			31 L","Highest PA"
"salary
			
			
			4.5L","Lowest PA"
"salary
			
			
			10.94 L","Average PA"
"salary
			
			
			9.5 L","Median PA"
"pay.","Students aim at a profile not the"
"PAY: 2100000","(a):  JUS /- Per annum–      03             CSE"
"Salary
							2.4    L","Lowest PA
							2.4   LPA
							2.4    LPA
							2.64    LPA
							1.8    LPA
							3.0 LPA
							2.25"
"Salary
							10.32    L","Average PA
							10.32     LPA
							3.5      LPA
							3.2    LPA
							-
							-
							3.3 LPA"
"Salary
							15    L","Highest PA 
							15    LPA
							6.5    LPA
							3.3    LPA
							4.8    LPA
							4  LPA
							4 LPA"
"Salary
							3.6    L","Lowest PA
							3.6   LPA
							3.6    LPA
							1.8    LPA
							1.8    LPA
							2.0 LPA"
"Salary
							7.84    L","Average PA
							7.84     LPA
							7.84      LPA
							3.2    LPA
							2.8    LPA
							3.5"
"Salary
							14    L","Highest PA Stock $8000
							14    LPA Stock $8000
							14    LPA Stock $8000
							4    LPA
							4.8    LPA
							8  LPA"
"Salary
							2.37 L","Lowest PA
							3.22 LPA
							3.22 LPA
							2.37 LPA
							1.2 LPA
							1.2 LPA"
"Salary
							3.8 L","Average PA
							8.46 LPA
							4.5 LPA
							4.5 LPA
							3.6 LPA
							3 LPA"
"Salary
							10 L","Highest PA
							30 LPA
							18 LPA
							18 LPA
							4.8 LPA
							10 LPA"
"Salary
							3    L","Lowest PA
							3    LPA
							3    LPA
							2.4    LPA
							2.4    LPA
							2.4    LPA"
"Salary
							4    L","Average PA
							4    LPA
							4    LPA
							3    LPA
							2.65    LPA
							4    LPA"
"Salary
							12    L","Highest PA
							12    LPA
							8    LPA
							6.6    LPA
							3    LPA
							4.5   LPA"
"Salary
							3.5    L","Lowest PA
							3.5    LPA
							2.5    LPA
							2.4    LPA
							2.4    LPA
							2.2    LPA"
"Salary
							4.5    L","Average PA
							4.5    LPA
							3.5    LPA
							3    LPA
							2.65    LPA
							3.5    LPA"
"Salary
							7.2    L","Highest PA
							8    LPA
							4.5    LPA
							4    LPA
							3    LPA
							5.16    LPA"
"Salary
							3    L","Lowest PA
							3    LPA
							3    LPA
							2.4    LPA
							2.4    LPA
							2.4    LPA"
"Salary
							4    L","Average PA
							4    LPA
							4    LPA
							3    LPA
							2.65    LPA
							2.65    LPA"
"Salary
							10.15    L","Highest PA
							10.15    LPA
							7    LPA
							6    LPA
							3    LPA
							3    LPA"
"salary
			
			
			32.7 L","Highest PA"
"salary
			
			
			5.0 L","Lowest PA"
"salary
			
			
			12.93 L","Average PA"
"salary
			
			
			10.50 L","Median PA"
"salary
			
			
			38 L","Highest PA"
"salary
			
			
			3 L","Lowest PA"
"salary
			
			
			11.8 L","Average PA"
"salary
			
			
			11.96 L","Median PA"
"salary
			
			
			31 L","Highest PA"
"salary
			
			
			4.5L","Lowest PA"
"salary
			
			
			10.94 L","Average PA"
"salary
			
			
			9.5 L","Median PA"
"pay.","Students aim at a profile not the"
"package 17.35 lakh","Average s per annum with a Median of 16.0 lakhs per annum"
"Salary 65.6 lakh","Highest International s per annum"
"salary 34 lakh","Highest domestic s per annum"
"CTC. ","IMT believes in gender diversity and strongly encourages balanced work ratio in work places. This was evident again this year as the average CTC of female students is higher as compared to male students, and is above overall campus average The average CTC of female students stands at 17.95 lakh per annum as compared to 17.14 lakh per annum for male students. The average CTC of top 10% female at IMT Ghaziabad was 28.51 lakh per annum as compared to average CTC of male which was 29.88 lakh per annum. IMT promotes and encourages females in every aspect of the career and growth development. With female students being offered higher CTC during final placements, it surely acts as a motivation for them."
"salary,","First, look at the job description to see if there’s any indication of payment. For example, the company might write that this is a “paid” role, that a benefit of the role is a “competitive ” or it might list the salary or a salary range directly within the job description."
"salary, ","I’m very interested in the role and passionate about working for Company X. Would you be able to provide any additional information on the internship logistics, including location, and other benefits?"
"pay 15K","We leave it to a company's discretion and have seen stipends ranging from 2.5K/month (mostly for virtual internships) to 30K/month. The guiding principle is that a stipend should be sufficient to cover basic expense of an intern (food plus traveling in case of a local candidate, +rent in case of an outstation candidate). Anything that you can pay over an above that will help you get better applications faster. At Internshala, we /month for an in-office internship (a decent PG accommodation with 2 meals a day costs 9K/month in Gurgaon) and 5K/month for virtual internships (requiring 2-3 hours of work everyday)."
